from_city,to_city,country_from,country_to,distance_km,train_time,train_price,bus_time,bus_price,flight_time,flight_price,meta_title,meta_description,slug
Berlin,Milan,Germany,Italy,1053,9h 16m,103,15h 2m,49,3h 24m,56,How to Get From Berlin to Milan: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Milan (Italy) by train, bus, or flight. Distance: 1053 km.",how-to-get-from-berlin-to-milan
Berlin,Barcelona,Germany,Spain,1876,16h 7m,169,26h 0m,82,4h 30m,80,How to Get From Berlin to Barcelona: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Barcelona (Spain) by train, bus, or flight. Distance: 1876 km.",how-to-get-from-berlin-to-barcelona
Berlin,Hannover,Germany,Germany,313,3h 6m,44,5h 10m,20,N/A (Too close),N/A,How to Get From Berlin to Hannover: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Hannover (Germany) by train, bus, or flight. Distance: 313 km.",how-to-get-from-berlin-to-hannover
Berlin,Lisbon,Germany,Portugal,2894,24h 37m,251,39h 35m,123,5h 51m,111,How to Get From Berlin to Lisbon: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Lisbon (Portugal) by train, bus, or flight. Distance: 2894 km.",how-to-get-from-berlin-to-lisbon
Berlin,Budapest,Germany,Hungary,861,7h 40m,88,12h 28m,41,3h 8m,50,How to Get From Berlin to Budapest: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Budapest (Hungary) by train, bus, or flight. Distance: 861 km.",how-to-get-from-berlin-to-budapest
Berlin,Warsaw,Germany,Poland,649,5h 54m,71,9h 39m,33,2h 51m,43,How to Get From Berlin to Warsaw: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Warsaw (Poland) by train, bus, or flight. Distance: 649 km.",how-to-get-from-berlin-to-warsaw
Berlin,Copenhagen,Germany,Denmark,444,4h 12m,55,6h 55m,25,N/A (Too close),N/A,How to Get From Berlin to Copenhagen: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Copenhagen (Denmark) by train, bus, or flight. Distance: 444 km.",how-to-get-from-berlin-to-copenhagen
Berlin,Stockholm,Germany,Sweden,1015,8h 57m,100,14h 31m,48,3h 21m,54,How to Get From Berlin to Stockholm: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Stockholm (Sweden) by train, bus, or flight. Distance: 1015 km.",how-to-get-from-berlin-to-stockholm
Berlin,Venice,Germany,Italy,990,8h 45m,98,14h 11m,47,3h 19m,54,How to Get From Berlin to Venice: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Venice (Italy) by train, bus, or flight. Distance: 990 km.",how-to-get-from-berlin-to-venice
Berlin,Florence,Germany,Italy,1232,10h 46m,118,17h 25m,56,3h 38m,61,How to Get From Berlin to Florence: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Florence (Italy) by train, bus, or flight. Distance: 1232 km.",how-to-get-from-berlin-to-florence
Berlin,Dublin,Germany,Ireland,1652,14h 16m,151,23h 1m,73,4h 12m,74,How to Get From Berlin to Dublin: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Dublin (Ireland) by train, bus, or flight. Distance: 1652 km.",how-to-get-from-berlin-to-dublin
Berlin,Edinburgh,Germany,United Kingdom,1430,12h 24m,133,20h 3m,64,3h 54m,67,How to Get From Berlin to Edinburgh: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Edinburgh (United Kingdom) by train, bus, or flight. Distance: 1430 km.",how-to-get-from-berlin-to-edinburgh
Berlin,Oslo,Germany,Norway,1049,9h 14m,103,14h 59m,49,3h 23m,55,How to Get From Berlin to Oslo: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Oslo (Norway) by train, bus, or flight. Distance: 1049 km.",how-to-get-from-berlin-to-oslo
Berlin,Helsinki,Germany,Finland,1385,12h 2m,130,19h 27m,62,3h 50m,66,How to Get From Berlin to Helsinki: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Helsinki (Finland) by train, bus, or flight. Distance: 1385 km.",how-to-get-from-berlin-to-helsinki
Berlin,Krakow,Germany,Poland,664,6h 1m,72,9h 51m,34,2h 53m,44,How to Get From Berlin to Krakow: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Krakow (Poland) by train, bus, or flight. Distance: 664 km.",how-to-get-from-berlin-to-krakow
Berlin,Geneva,Germany,Switzerland,1097,9h 38m,107,15h 37m,51,3h 27m,57,How to Get From Berlin to Geneva: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Geneva (Switzerland) by train, bus, or flight. Distance: 1097 km.",how-to-get-from-berlin-to-geneva
Berlin,Lyon,Germany,France,1220,10h 39m,117,17h 15m,56,3h 37m,61,How to Get From Berlin to Lyon: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Lyon (France) by train, bus, or flight. Distance: 1220 km.",how-to-get-from-berlin-to-lyon
Berlin,Marseille,Germany,France,1484,12h 52m,138,20h 47m,66,3h 58m,69,How to Get From Berlin to Marseille: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Marseille (France) by train, bus, or flight. Distance: 1484 km.",how-to-get-from-berlin-to-marseille
Berlin,Valencia,Germany,Spain,2243,19h 11m,198,30h 54m,97,4h 59m,91,How to Get From Berlin to Valencia: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Valencia (Spain) by train, bus, or flight. Distance: 2243 km.",how-to-get-from-berlin-to-valencia
